course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
SOC 201,Social Science Research Methods,2L,24,3.32,0.90,3.67,50,35,4,0,4,0,0,0,8,26,FA2023,Katherine Erdman
SOC 203,Sociology,1L,24,2.92,0.87,3.00,24,44,24,0,4,0,0,0,4,25,FA2023,Darkhan Medeuov
SOC 203,Sociology,2L,23,2.58,1.12,2.67,20,36,24,4,8,0,0,0,8,25,FA2023,Darkhan Medeuov
SOC 210,Gender and Society,1L,24,3.28,0.94,3.67,56,16,16,8,0,0,0,0,4,25,FA2023,Michael Ryan
SOC 215,Sociology of Race and Ethnicity,1L,24,3.17,0.91,3.33,36,44,12,0,4,0,0,0,4,25,FA2023,Saltanat Akhmetova
SOC 217,Sociology of the Family,1L,23,3.07,1.13,3.33,44,32,8,0,8,0,0,0,8,25,FA2023,Olga Isupova
SOC 301,Classical Sociological Theory,1L,24,2.94,0.89,3.33,24,56,8,4,4,0,0,0,4,25,FA2023,Gavin Slade
SOC 301,Classical Sociological Theory,2L,24,2.92,0.86,3.00,20,56,12,4,4,0,0,0,4,25,FA2023,Gavin Slade
SOC 310,Social Inequality,1L,25,3.01,1.12,3.67,52,12,28,4,4,0,0,0,0,25,FA2023,Michael Ryan
SOC 410,Intersectional Approach,1L,24,3.29,0.79,3.33,36,56,0,0,4,0,0,0,4,25,FA2023,Saltanat Akhmetova
SOC 411,Sociology of Civic Belonging,1L,21,2.30,1.18,2.33,18,23,36,9,9,0,0,0,5,22,FA2023,Matvey Lomonosov
SOC 415,Eurasia,1L,24,3.17,0.66,3.33,32,52,12,0,0,0,0,0,4,25,FA2023,Olga Isupova
SOC 420,and Perspectives,1L,24,2.90,0.99,3.17,32,40,16,4,4,0,0,0,4,25,FA2023,Carlos Abaunza
SOC 498,Capstone Seminar Part I,1CP,24,3.45,0.62,3.67,67,25,8,0,0,0,0,0,0,24,FA2023,Dana Burkhanova
ANT 204/PLS 204,Capitalism in Crisis,1L,23,3.25,0.91,3.33,41,33,7,0,4,0,0,0,15,27,FA2023,Alima Bissenova
HST 271/TUR 271,History of the Ottoman Empire,1L,29,3.13,0.67,3.33,35,41,24,0,0,0,0,0,0,29,FA2023,Halit Akarca
HST 274/WLL 274,Texts and Contexts,1L,26,3.15,0.64,3.33,29,50,14,0,0,0,0,0,7,28,FA2023,Curtis Murphy
SSH 300,Humanities Internship,1Int,2,0.00,0.00,0.00,0,0,0,0,20,80,0,0,0,10,FA2023,Daniel Beben
WCS 150,Rhetoric and Composition,1L,20,3.42,0.32,3.50,50,50,0,0,0,0,0,0,0,20,FA2023,Kevin Phillips
WCS 150,Rhetoric and Composition,2L,20,2.40,0.65,2.67,0,65,30,0,5,0,0,0,0,20,FA2023,Tiffany Moore
WCS 150,Rhetoric and Composition,3L,19,3.19,0.52,3.33,35,55,5,0,0,0,0,0,5,20,FA2023,Ti Wu
WCS 150,Rhetoric and Composition,4L,20,3.40,0.32,3.50,50,50,0,0,0,0,0,0,0,20,FA2023,Ti Wu
