course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
CEE 202,Environmental Engineering,1L,64,3.03,0.48,3.0,13.8,67.7,16.9,0.0,0.0,0.0,0.0,0.0,,65,SP2026,Mert Guney
CEE 203,Structural Analysis,1L,65,2.29,1.14,2.33,19.7,22.7,30.3,18.2,7.6,0.0,0.0,0.0,,66,SP2026,ElnaraKussinova
CEE 301,Structural Design – Steel,1L,63,1.98,0.98,2.0,3.1,32.8,35.9,15.6,10.9,0.0,0.0,0.0,,64,SP2026,Dichuan Zhang
CEE 303,Geotechnical Design,1L,54,2.64,0.76,3.0,5.5,61.8,23.6,5.5,1.8,0.0,0.0,0.0,,55,SP2026,Sung Moon
CEE 305,Hydraulics and Hydrology,1L,51,3.18,1.0,3.67,51.9,28.8,9.6,3.8,3.8,0.0,0.0,0.0,,52,SP2026,Ferhat Karaca
CEE 350,Water and WastewaterTreatment Processes,1L,11,2.79,1.19,3.0,25.0,33.3,25.0,0.0,8.3,0.0,0.0,0.0,,12,SP2026,Woojin Lee
CEE 400,Transportation Engineering,1L,55,3.38,0.35,3.33,38.2,60.0,1.8,0.0,0.0,0.0,0.0,0.0,,55,SP2026,Chang Shon
CEE 454,Foundation Engineering,1L,46,3.65,0.45,3.67,73.9,26.1,0.0,0.0,0.0,0.0,0.0,0.0,,46,SP2026,AlfrendoSatyanaga
CEE 457,Air Quality Management,1L,42,3.86,0.29,4.0,92.9,7.1,0.0,0.0,0.0,0.0,0.0,0.0,,42,SP2026,Ferhat Karaca
CEE 458,Modern InformationTechnology in Construction,1L,42,4.0,0.0,4.0,97.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,43,SP2026,AlfrendoSatyanaga
CEE 463,Individual Research Projectin Civil & EnvironmentalEngineering 1,1L,15,3.4,0.51,3.33,46.7,46.7,6.7,0.0,0.0,0.0,0.0,0.0,,15,SP2026,Jong Kim
CEE 463,Individual Research Projectin Civil & EnvironmentalEngineering 1,1L,15,3.4,0.51,3.33,46.7,46.7,6.7,0.0,0.0,0.0,0.0,0.0,,15,SP2026,BakhytAubakirova
CEE 465,Structure and Properties ofConcrete Materials,1L,14,3.07,0.54,3.33,14.3,71.4,14.3,0.0,0.0,0.0,0.0,0.0,,14,SP2026,Shazim Memon
CEE 466,Introduction to FiniteElement Methods,1L,22,2.62,0.68,2.67,9.1,54.5,27.3,9.1,0.0,0.0,0.0,0.0,,22,SP2026,ElnaraKussinova
CEE 470,Construction EngineeringEconomics,1L,55,3.13,0.67,3.33,34.5,50.9,10.9,3.6,0.0,0.0,0.0,0.0,,55,SP2026,Abid Nadeem
ELCE 201L,Circuit Theory Laboratory,1Lb,20,3.53,0.28,3.67,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,,20,SP2026,ShyngysSalakchinov
ELCE 201L,Circuit Theory Laboratory,2Lb,10,3.07,0.91,3.34,50.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,,10,SP2026,ShyngysSalakchinov
ELCE 201L,Circuit Theory Laboratory,3Lb,20,3.87,0.23,4.0,85.7,9.5,0.0,0.0,0.0,0.0,0.0,0.0,,21,SP2026,GulsimKulsharova
ELCE 201L,Circuit Theory Laboratory,4Lb,20,3.82,0.2,3.84,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,20,SP2026,GulsimKulsharova
ELCE 201,Circuits Theory II,1L,72,2.64,0.93,2.67,19.2,35.6,35.6,4.1,4.1,0.0,0.0,0.0,,73,SP2026,GalymzhanNauryzbayev
ELCE 202,Digital Logic Design,1L,25,3.67,0.22,3.67,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,25,SP2026,SultangaliArzykulov
ELCE 202L,Digital Logic DesignLaboratory,2Lb,22,3.77,0.24,3.67,86.4,13.6,0.0,0.0,0.0,0.0,0.0,0.0,,22,SP2026,AliyaNurmukhanbetova
ELCE 202L,Digital Logic DesignLaboratory,3Lb,27,3.64,0.35,3.67,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,,27,SP2026,AliyaNurmukhanbetova
ELCE 202,Digital Logic Design,1L,74,3.25,0.71,3.33,48.6,37.8,12.2,0.0,1.4,0.0,0.0,0.0,,74,SP2026,SultangaliArzykulov
ELCE 300,Microprocessor Systems,1L,29,2.97,0.54,3.0,16.7,66.7,13.3,0.0,0.0,0.0,0.0,0.0,,30,SP2026,MohammadHashmi
ELCE 300L,Microprocessor SystemsLaboratory,2Lb,14,3.31,0.28,3.33,28.6,71.4,0.0,0.0,0.0,0.0,0.0,0.0,,14,SP2026,ShyngysSalakchinov
ELCE 300,Microprocessor Systems,1L,45,2.53,0.98,2.67,13.0,41.3,37.0,0.0,6.5,0.0,0.0,0.0,,46,SP2026,MohammadHashmi
ELCE 302,Electric Machines,1L,16,3.63,0.27,3.67,87.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,,16,SP2026,Prashant Jamwal
ELCE 302,Electric Machines,1L,17,2.88,1.03,3.0,41.2,17.6,35.3,0.0,5.9,0.0,0.0,0.0,,17,SP2026,Prashant Jamwal
ELCE 303,Power System Analysis,1L,23,2.81,0.85,3.0,13.0,65.2,17.4,0.0,4.3,0.0,0.0,0.0,,23,SP2026,Mehdi Bagheri
ELCE 305,Data Structures andAlgorithms,1L,19,2.72,0.97,3.0,14.3,47.6,19.0,4.8,4.8,0.0,0.0,0.0,,21,SP2026,AinurRakhymbay
ELCE 305,Data Structures andAlgorithms,1L,19,2.72,0.97,3.0,14.3,47.6,19.0,4.8,4.8,0.0,0.0,0.0,,21,SP2026,Aresh Dadlani
ELCE 308,Communication Systems,1L,26,2.95,0.56,3.0,18.5,66.7,7.4,3.7,0.0,0.0,0.0,0.0,,27,SP2026,SultangaliArzykulov
ELCE 311,Interdisciplinary DesignProject,1L,44,3.31,0.45,3.33,34.1,63.6,2.3,0.0,0.0,0.0,0.0,0.0,,44,SP2026,AliyaNurmukhanbetova
ELCE 350,Electromagnetics I,1L,32,3.53,0.53,3.67,62.9,25.7,2.9,0.0,0.0,0.0,0.0,0.0,,35,SP2026,Carlo Molardi
ELCE 352,Applied SimulationLaboratory,1Lb,14,3.67,0.57,4.0,64.7,11.8,5.9,0.0,0.0,0.0,0.0,0.0,,17,SP2026,AinurRakhymbay
ELCE 458,Numerical OptimizationTechniques and ComputerApplications,1L,9,3.26,0.74,3.33,36.4,36.4,9.1,0.0,0.0,0.0,0.0,0.0,,11,SP2026,AinurRakhymbay
ELCE 458,Numerical OptimizationTechniques and ComputerApplications,1L,9,3.26,0.74,3.33,36.4,36.4,9.1,0.0,0.0,0.0,0.0,0.0,,11,SP2026,Aresh Dadlani
