course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
CEE 304,Fluid Mechanics,1L,53,3.22,0.72,3.33,42.6,40.7,11.1,3.7,0.0,0.0,0.0,0.0,1.9,54,FA2025,Ferhat Karaca
CEE 306,Civil EngineeringMaterials,1L,53,3.27,0.36,3.33,25.9,70.4,1.9,0.0,0.0,0.0,0.0,0.0,1.9,54,FA2025,Chang Shon
CEE 401,Construction Technologyand Management,1L,66,3.13,0.49,3.16,26.9,61.2,10.4,0.0,0.0,0.0,0.0,0.0,1.5,67,FA2025,Abid Nadeem
CEE 450,Behavior and Design ofStructural System,1L,19,2.98,0.53,3.0,15.0,65.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,20,FA2025,Dichuan Zhang
CEE 460,Water Supply andDistribution Management,1L,46,3.53,0.61,3.67,67.4,23.9,8.7,0.0,0.0,0.0,0.0,0.0,0.0,46,FA2025,Ferhat Karaca
CEE 462,Pavement Design andPerformance,1L,27,2.74,0.49,2.67,3.4,65.5,20.7,3.4,0.0,0.0,0.0,0.0,6.9,29,FA2025,Chang Shon
CEE 463,Individual ResearchProject in Civil &EnvironmentalEngineering 1,1L,15,3.47,0.99,3.67,64.7,17.6,0.0,0.0,5.9,0.0,0.0,0.0,11.8,17,FA2025,Jong Kim
CEE 463,Individual ResearchProject in Civil &EnvironmentalEngineering 1,1L,15,3.47,0.99,3.67,64.7,17.6,0.0,0.0,5.9,0.0,0.0,0.0,11.8,17,FA2025,BakhytAubakirova
CEE 467,Building InformationModelling forGeotechnical Engineering,1L,42,3.68,0.37,3.67,78.6,19.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,42,FA2025,AlfrendoSatyanaga
ELCE 200,Circuits Theory I,1L,81,2.29,0.83,2.33,6.2,34.6,48.1,7.4,3.7,0.0,0.0,0.0,0.0,81,FA2025,GalymzhanNauryzbayev
ELCE 203,Signals and Systems,1L,37,3.39,0.43,3.33,45.0,42.5,5.0,0.0,0.0,0.0,0.0,0.0,7.5,40,FA2025,MuhammadAkhtar
ELCE 203L,Signals and SystemsLaboratory,2Lb,33,3.35,0.36,3.33,30.6,58.3,2.8,0.0,0.0,0.0,0.0,0.0,8.3,36,FA2025,ShyngysSalakchinov
ELCE 203,Signals and Systems,1L,70,2.25,1.07,2.33,9.1,28.6,36.4,7.8,9.1,0.0,0.0,0.0,9.1,77,FA2025,MuhammadAkhtar
ELCE 204,Solid State Devices,1L,15,3.85,0.17,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,FA2025,Annie Ng
ELCE 204,Solid State Devices,1L,18,3.04,0.94,3.33,38.9,38.9,16.7,0.0,5.6,0.0,0.0,0.0,0.0,18,FA2025,Annie Ng
ELCE 205,Discrete Mathematics,1L,74,3.46,0.67,3.67,58.1,36.5,2.7,1.4,1.4,0.0,0.0,0.0,0.0,74,FA2025,Carlo Molardi
ELCE 301L,Electronic CircuitsLaboratory,1Lb,15,3.65,0.54,3.67,75.0,12.5,6.2,0.0,0.0,0.0,0.0,0.0,6.2,16,FA2025,GulsimKulsharova
ELCE 301L,Electronic CircuitsLaboratory,2Lb,29,3.92,0.14,4.0,96.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,30,FA2025,GulsimKulsharova
ELCE 301,Electronic Circuits,1L,43,3.12,0.89,3.33,38.6,43.2,9.1,4.5,2.3,0.0,0.0,0.0,2.3,44,FA2025,MohammadHashmi
ELCE 304,Computer Networks,1L,28,3.91,0.18,4.0,90.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,6.7,30,FA2025,Refik Kizilirmak
ELCE 304L,Computer NetworksLaboratory,2Lb,17,3.76,0.33,4.0,76.5,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,FA2025,Refik Kizilirmak
ELCE 304,Computer Networks,1L,43,3.12,0.61,3.33,28.3,47.8,15.2,2.2,0.0,0.0,0.0,0.0,6.5,46,FA2025,Refik Kizilirmak
ELCE 306,Linear Control Theory,1L,43,3.22,0.73,3.33,34.1,52.3,9.1,0.0,2.3,0.0,0.0,0.0,2.3,44,FA2025,Refik Kizilirmak
ELCE 307,Digital Signal Processing,1L,14,3.38,0.37,3.5,46.7,46.7,0.0,0.0,0.0,0.0,0.0,0.0,6.7,15,FA2025,MuhammadAkhtar
ELCE 307,Digital Signal Processing,1L,14,2.98,0.66,3.0,26.7,40.0,26.7,0.0,0.0,0.0,0.0,0.0,6.7,15,FA2025,MuhammadAkhtar
ELCE 352,Applied SimulationLaboratory,1Lb,25,3.61,0.89,4.0,84.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,25,FA2025,AinurRakhymbay
ELCE 352,Applied SimulationLaboratory,2Lb,11,3.48,0.66,3.67,58.3,16.7,16.7,0.0,0.0,0.0,0.0,0.0,8.3,12,FA2025,AinurRakhymbay
ELCE 354,Power Electronics,1L,24,2.38,1.22,2.67,24.0,28.0,28.0,4.0,12.0,0.0,0.0,0.0,4.0,25,FA2025,AinurRakhymbay
ELCE 355,Power SystemsProtection,1L,5,3.0,1.06,3.33,40.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5,FA2025,AinurRakhymbay
ELCE 455,Machine Learning withPython,1L,35,3.4,0.74,3.67,52.5,20.0,15.0,0.0,0.0,0.0,0.0,0.0,12.5,40,FA2025,Mehdi Shafiee
ELCE 462,Wireless Networks,1L,7,3.33,0.43,3.33,28.6,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,FA2025,Behrouz Maham
ELCE 463,Network Science:Methods and Applications,1L,14,2.62,1.14,3.0,20.0,33.3,26.7,6.7,6.7,0.0,0.0,0.0,6.7,15,FA2025,AinurRakhymbay
ELCE 463,Network Science:Methods and Applications,1L,14,2.62,1.14,3.0,20.0,33.3,26.7,6.7,6.7,0.0,0.0,0.0,6.7,15,FA2025,Aresh Dadlani
ELCE 466,RF and MicrowaveCircuits,1L,19,3.3,0.77,3.33,45.0,35.0,10.0,5.0,0.0,0.0,0.0,0.0,5.0,20,FA2025,MohammadHashmi
ENG 101,Programming forEngineers,1L,279,3.34,0.68,3.33,49.1,41.3,7.8,0.0,1.1,0.0,0.0,0.0,0.7,281,FA2025,SultangaliArzykulov
ENG 100,Introduction toEngineering,1L,301,3.57,0.3,3.67,67.0,31.7,0.7,0.0,0.0,0.0,0.0,0.0,0.7,303,FA2025,GulnurKalimuldina
ENG 100,Introduction toEngineering,1L,301,3.57,0.3,3.67,67.0,31.7,0.7,0.0,0.0,0.0,0.0,0.0,0.7,303,FA2025,AssiyaYermukhambetova
ENG 100,Introduction toEngineering,1L,301,3.57,0.3,3.67,67.0,31.7,0.7,0.0,0.0,0.0,0.0,0.0,0.7,303,FA2025,GulsimKulsharova
ENG 100,Introduction toEngineering,1L,301,3.57,0.3,3.67,67.0,31.7,0.7,0.0,0.0,0.0,0.0,0.0,0.7,303,FA2025,Woojin Lee
ENG 200,Engineering MathematicsIII (Differential Equationsand Linear Algebra),1L,72,2.88,0.88,3.0,26.0,41.1,26.0,2.7,2.7,0.0,1.4,0.0,0.0,73,FA2025,ElnaraKussinova
ENG 200,Engineering MathematicsIII (Differential Equationsand Linear Algebra),2L,32,2.76,0.78,3.0,15.6,50.0,31.2,0.0,3.1,0.0,0.0,0.0,0.0,32,FA2025,Yanwei Wang
ENG 200,Engineering MathematicsIII (Differential Equationsand Linear Algebra),3L,70,3.34,0.59,3.33,46.5,43.7,7.0,1.4,0.0,0.0,0.0,0.0,1.4,71,FA2025,Dmitriy Sizov
ENG 200,Engineering MathematicsIII (Differential Equationsand Linear Algebra),4L,59,3.72,0.33,3.67,72.9,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,FA2025,Daniele Tosi
ENG 200,Engineering MathematicsIII (Differential Equationsand Linear Algebra),5L,48,2.69,0.95,2.67,24.5,38.8,24.5,6.1,4.1,0.0,0.0,0.0,2.0,49,FA2025,Prashant Jamwal
MAE 201,Computer Aided Design,1L,75,3.1,0.61,3.33,24.7,62.3,9.1,0.0,1.3,0.0,0.0,0.0,2.6,77,FA2025,KonstantinosKostas
MAE 202,Environmental Science,1L,74,3.0,0.54,3.0,18.4,56.6,22.4,0.0,0.0,0.0,0.0,0.0,2.6,76,FA2025,GulnurKalimuldina
MAE 300,Fluid Mechanics I,1L,64,2.53,0.88,2.67,9.4,43.8,35.9,6.2,4.7,0.0,0.0,0.0,0.0,64,FA2025,Sergey Spotar
MAE 301,EngineeringThermodynamics,1L,64,2.17,0.88,2.33,1.6,40.6,35.9,15.6,6.2,0.0,0.0,0.0,0.0,64,FA2025,Amgad Salama
MAE 303,Control Systems,1L,61,2.48,0.79,2.67,9.8,42.6,39.3,4.9,3.3,0.0,0.0,0.0,0.0,61,FA2025,Md. Hazrat Ali
MAE 307,Engineering Dynamics II,1L,59,2.71,0.73,2.67,6.8,64.4,22.0,5.1,1.7,0.0,0.0,0.0,0.0,59,FA2025,Sherif Gouda
MAE 400,Heat Transfer,1L,46,3.33,0.47,3.33,44.7,46.8,6.4,0.0,0.0,0.0,0.0,0.0,2.1,47,FA2025,YerbolSarbassov
MAE 401,Mechanical SystemsDesign,1L,45,3.27,0.29,3.33,26.1,71.7,0.0,0.0,0.0,0.0,0.0,0.0,2.2,46,FA2025,Didier Talamona
MAE 450,Additive Manufacturing,1L,14,3.05,0.34,3.0,14.3,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,FA2025,Didier Talamona
MAE 455,Flight Performance andMechanics,1L,8,2.92,0.61,3.0,11.1,55.6,22.2,0.0,0.0,0.0,0.0,0.0,11.1,9,FA2025,AltayZhakatayev
MAE 455,Flight Performance andMechanics,1L,8,2.92,0.61,3.0,11.1,55.6,22.2,0.0,0.0,0.0,0.0,0.0,11.1,9,FA2025,Dmitriy Sizov
MAE 467,"Heating, Ventilating andAir Conditioning",1L,27,2.88,0.59,3.0,11.1,74.1,7.4,7.4,0.0,0.0,0.0,0.0,0.0,27,FA2025,YerbolSarbassov
MAE 468,Introduction toAerospace Propulsion.,1L,16,3.08,0.41,3.0,17.6,76.5,0.0,0.0,0.0,0.0,0.0,0.0,5.9,17,FA2025,AltayZhakatayev
CSCI 111,Web Programming andProblem Solving,1L,29,3.48,0.5,3.67,53.3,40.0,3.3,0.0,0.0,0.0,0.0,0.0,3.3,30,FA2025,Irina Dolzhikova
CSCI 111,Web Programming andProblem Solving,2L,26,3.46,0.6,3.67,45.2,35.5,3.2,0.0,0.0,0.0,0.0,0.0,16.1,31,FA2025,TalgatManglayev
CSCI 111,Web Programming andProblem Solving,3L,26,3.15,0.49,3.0,24.1,58.6,6.9,0.0,0.0,0.0,0.0,0.0,10.3,29,FA2025,SyedMuhammadUmair Arif
CSCI 115,ProgrammingFundamentals,1L,96,2.91,0.75,3.0,20.0,54.0,19.0,1.0,2.0,0.0,0.0,0.0,4.0,100,FA2025,Minho Lee
CSCI 115,ProgrammingFundamentals,2L,100,3.01,0.63,3.0,24.0,57.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,100,FA2025,Sain Saginbekov
CSCI 115,ProgrammingFundamentals,3L,94,2.84,0.69,3.0,13.3,57.1,22.4,2.0,1.0,0.0,0.0,0.0,4.1,98,FA2025,SaidaMussakhojayeva
CSCI 115,ProgrammingFundamentals,4L,97,2.94,0.65,3.0,18.6,59.8,19.6,1.0,1.0,0.0,0.0,0.0,0.0,97,FA2025,Anwar Ghani
CSCI 151,Programming forScientists and Engineers,1L,98,2.77,1.27,3.33,38.4,28.3,15.2,6.1,11.1,0.0,0.0,0.0,1.0,99,FA2025,Antonio Cerone
CSCI 151,Programming forScientists and Engineers,2L,130,2.48,1.42,3.0,33.8,23.3,15.8,7.5,17.3,0.0,0.8,0.0,1.5,133,FA2025,ShinnazarSeytnazarov
CSCI 151,Programming forScientists and Engineers,3L,97,2.63,1.42,3.33,39.8,22.4,17.3,2.0,17.3,0.0,0.0,0.0,1.0,98,FA2025,MuhammedDemirci
CSCI 231,Computer Systems andOrganization,1L,89,2.39,1.18,2.67,19.4,28.6,20.4,13.3,9.2,0.0,0.0,0.0,9.2,98,FA2025,ShinnazarSeytnazarov
CSCI 231,Computer Systems andOrganization,2L,83,2.19,1.03,2.33,6.2,33.3,29.2,9.4,8.3,0.0,0.0,0.0,13.5,96,FA2025,Hashim Ali
CSCI 231,Computer Systems andOrganization,3L,46,1.99,1.09,2.0,10.2,22.4,36.7,12.2,12.2,0.0,0.0,0.0,6.1,49,FA2025,Hari Mohan Rai
CSCI 235,Programming Languages,1L,146,2.66,0.84,3.0,10.7,53.3,24.0,6.0,3.3,0.0,0.0,0.0,2.7,150,FA2025,Ben Tyler
CSCI 235,Programming Languages,2L,88,2.57,0.83,2.67,10.2,48.9,31.8,5.7,3.4,0.0,0.0,0.0,0.0,88,FA2025,Jean MarieGuillaumeGerard deNivelle
CSCI 281,Human-ComputerInteraction,1L,12,1.83,1.13,2.0,6.2,12.5,31.2,12.5,12.5,0.0,0.0,0.0,25.0,16,FA2025,Antonio Cerone
CSCI 341,Database Systems,1L,91,2.58,0.59,2.67,4.3,53.8,35.5,4.3,0.0,0.0,0.0,0.0,2.2,93,FA2025,MeiramMurzabulatov
CSCI 341,Database Systems,2L,93,2.7,0.77,3.0,12.8,53.2,25.5,6.4,1.1,0.0,0.0,0.0,1.1,94,FA2025,Adnan Yazici
CSCI 341,Database Systems,3L,72,2.65,0.79,2.84,11.0,53.4,24.7,8.2,1.4,0.0,0.0,0.0,1.4,73,FA2025,Yesdaulet Izenov
CSCI 344,Data Mining and DecisionSupport,1L,27,2.74,0.79,3.0,7.4,70.4,14.8,3.7,3.7,0.0,0.0,0.0,0.0,27,FA2025,Jurn Gyu Park
