registrar_id,course_code,pre_req,anti_req,co_req,level,school,description,department,title,credits,term
8017,PLS 748,,,,PhD,SSH,"Elections are core instruments as well as defining feature of representative democracy, as elections are links that connect the preferences of citizens to the composition of government. In order for representative democracy to work, a set of rules to determine who gets elected – how votes are casted, counted and translated into seats - should be well-defined.",Political Science and International Relations,Comparative Electoral System,8,Spring 2026
1595,CHEM 431,CHEM 332 Physical Chemistry II (1056) (C and above) AND (CSCI 111 Web Programming and Problem Solving (110) (C- and above) OR CSCI 150 Fundamentals of Programming (1501) (C- and above) OR CSCI 151 Programming for Scientists and Engineers (192) (C- and above)),,,UG,SSH,"The students will learn a variety of commonly used techniques such as geometry optimization, location of transition states, conformational analysis,and prediction of molecular and spectroscopic properties. ",Chemistry,Computational Chemistry,6,Spring 2025
3813,GSBF 514,,,,GrM,GSB,This course develops a theoretical framework for understanding and analysing major financial challenges of a modern firm in the contemporary global market environment. In doing so it aims to provide the conceptual background for corporate financial analysis from the point of corporate value creation. The course provides necessary knowledge in evaluating different management decisions and their influence on corporate performance and value.,GSB,Corporate Finance,5,Spring 2025
5493,PHYS 701,,,,PhD,SSH,"This course is designed to provide students a directed focus on preparing a literature review on the topic of their interest in coordination with a faculty supervisor. The students are expected to develop a comprehensive review of the state of the art and identify the major gaps in the field of research. They also develop critical assessment and comparison of the past literature, and present the work in the form of the term paper.",Physics,Current Research Literature ,6,Spring 2025
4138,MATH 541,MATH 540 Statistical Learning (2340) (B- and above),,,GrM,SSH,"The course begins with the general formulation of the supervised learning problem and proceeds with the model assessment/selection issues, the comparison of models. We proceed to covering regularization, kernels, design of neural networks and, finally, based on Vapnik-Chervonenkis theory, we discuss how sample size affects the generalization power.",Mathematics,Data Analysis and Statistical Learning,8,Fall 2024
3706,BIOL 392,,,,UG,SSH,"Under the supervision of a faculty advisor, a student pursues independent research on a topic in Biology.",Biological Science,Directed Study in Biology,6,Summer 2025
1408,PHYS 491,,,,UG,SSH,Directed study of advanced physics topics supervised by an NU Physics Department faculty member.,Physics,Directed Study of Advanced Physics Topics ,6,Spring 2025
8534,PHYS 590,,,,GrM,SSH,"An independent study course on an advanced physics topic, chosen in consultation with a faculty supervisor. The student engages in self-directed learning through reading and regular discussions. A final report summarizes the material studied and key insights. The supervisor provides a brief evaluation and grade recommendation.",Physics,Directed Study of Advanced Topics in Modern Physics ,8,Fall 2025
8235,LING 789,,,,PhD,SSH,"The course provides an introduction to Discourse and Grammar – an interdisciplinary branch of language study comprising research from typology, syntax, interactional linguistics, and cognitive science. The course takes Discourse and Grammar as the label for a unified field which looks at discourse from the perspective of grammar, and grammar from the perspective of discourse. The Discourse and Grammar approach is interested in finding functional explanations behind the emergence of grammar. Discourse is understood as the domain of language use, with speakers making functional choices at all levels of structure, whether across sentence and larger unit boundaries, inside clauses and phrases, or even within words. Grammar provides the structures for linguistic action, and functionally motivated linguistic action in turn produces the recurrent patterns that ultimately grammaticize, giving rise to linguistic structure. The course will cover the two major directions of the interface between grammar and interaction: (1) how grammatical structures arise from fluid patterns of language use (discourse); (2) how stable structures of grammar provide templates for linguistic action. Research questions in the domain of Discourse and Grammar can be addressed through a variety of methods, including quantitative (corpus linguistics, psycholinguistics experiments) and qualitative (Conversation Analysis, discourse analysis, structural analysis).","Languages, Literature and Linguistics",Discourse and Grammar,8,Spring 2026
2507,ECON 541,ECON 501 Microeconomics I (2187) (C- and above),,,GrM,SSH,"
This course will teach the principles of computable general equilibrium (CGE) modeling and introduce some applications in trade, environmental and energy economics. The course will teach how to build a CGE model using the GAMS software. CGE models are widely applied in international organizations (World Bank, IMF) and research institutions.
",Economics,Economic Simulation Modeling,8,Spring 2026
1171,ROBT 304,ROBT 203 Electrical and Electronic Circuits I with Lab (62) (C- and above),,,UG,SEDS,n/a,Robotics and Mechatronics,Electromechanical Systems with lab,8,Spring 2025
4159,GSBF 520,,,,GrM,GSB,"This course covers empirical research of asset pricing models. Topics include structural and reduced-form econometric tests, empirical patterns of return predictability in the time-series and the cross-section, and common data preprocessing operations for handling large panel data sets of firm-level market data and accounting data.",GSB,Empirical Asset Pricing,5,Fall 2025
8262,MBA 09,,,,GrM,GSB,"The focus of this course is the successful creation, development and exit of a new venture.",GSB,Entrepreneurship,6,Spring 2025
7101,PHYS 462,MATH 162 Calculus II (170) (C- and above) AND PHYS 221 Classical Mechanics I (652) (C- and above),,PHYS 451 Quantum Mechanics I (1415) (C- and above),UG,SSH,"The course deals with field theories in physics as obtained via a Lagrangian approach through the variation of the action. The main focus is on Newtonian gravity, thermodynamics, Maxwell’s electromagnetism, quantum mechanics, scalar fields and relativity.",Physics,Field Theories in Physics,6,Spring 2025
7078,MSF 11,,,,GrM,GSB,"FinTech is the term for technology and innovation that targets frictions in the traditional financial industry. In this course you will learn how the FinTech industry creates value by lowering unit processing costs, resolves asymmetric information issues and discusses how network effects are introduced.",GSB,FinTech,5,Spring 2025
1703,MBA 03,,,,GrM,GSB,"This course focuses on the construction and interpretation of corporate financial reports, which are used by external parties (including investors, creditors, and regulators).",GSB,Financial Accounting,4,Spring 2024
3812,GSBF 513,,,,GrM,GSB,In this (GSBF513) course we will dig deeper into the models and methods of data analytics that we started discovering in the sibling course Financial Data Analytics I (GSBF 511).,GSB,Financial Data Analytics II,5,Spring 2025
4299,MSF 01,,,,GrM,GSB,"In this course the students are introduced to the modelling of time value of money problems, investment decision problems, financial evaluation of projects, and the valuation models of securities that are commonly used by corporations (bonds and stocks).",GSB,Financial Modeling,5,Spring 2025
4610,BIOL 450L,BIOL 305 Introduction to Microbiology with Lab (1642) (C and above) OR BIOL 305 Introduction to Microbiology (5789) (C and above),,BIOL 450 Food Microbiology  (4609) (C and above),UG,SSH,"Food Microbiology labs will teach students to learn standard methods and apply basic techniques used in study of microorganisms found in food, both in its production and contamination.",Biological Science,Food Microbiology Lab,2,Spring 2024
